date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-05-22,78100,78700,77300,77700,77700,19521506,005930
2024-05-23,77700,79100,77100,78300,78300,18728087,005930
2024-05-24,76800,77000,75700,75900,75900,27891278,005930
2024-05-27,75300,78200,74000,77200,77200,43825202,005930
2024-05-28,76500,78000,76200,77600,77600,18539072,005930
2024-05-29,77700,78200,75200,75200,75200,30244875,005930
2024-05-30,74800,75200,73500,73500,73500,28551273,005930
2024-05-31,74500,74700,73500,73500,73500,26198776,005930
2024-06-03,74400,76400,74200,75700,75700,15706268,005930
2024-06-04,74900,76100,74900,75300,75300,14098053,005930
2024-06-05,78000,78000,76800,77400,77400,23177968,005930
2024-06-07,78400,78600,77100,77300,77300,21189349,005930
2024-06-10,76100,76600,75600,75700,75700,14598755,005930
2024-06-11,75900,76000,75100,75200,75200,16971175,005930
2024-06-12,75300,77100,75200,76500,76500,19246725,005930
2024-06-13,78400,79000,77800,78600,78600,33763804,005930
2024-06-14,79700,80500,79000,79600,79600,22926612,005930
2024-06-17,79200,79500,78000,78100,78100,16123051,005930
2024-06-18,78700,80200,78600,79800,79800,18207598,005930
2024-06-19,81100,82500,80500,81200,81200,24168863,005930
2024-06-20,81500,82200,81200,81600,81600,20288913,005930
2024-06-21,80700,80800,80000,80000,80000,17907523,005930
2024-06-24,79700,80900,79500,80600,80600,15454227,005930
2024-06-25,80600,81800,80100,80800,80800,19088458,005930
2024-06-26,80100,81400,79900,81300,81300,17783242,005930
2024-06-27,81300,81600,80500,81600,81600,11739720,005930
2024-06-28,81900,81900,80800,81500,81500,9455929,005930
2024-07-01,81500,82100,81300,81800,81800,11317202,005930
2024-07-02,82500,82600,81500,81800,81800,14471904,005930
2024-07-03,82300,82300,81000,81800,81800,11440328,005930
2024-07-04,82900,84700,82400,84600,84600,43857229,005930
2024-07-05,85600,87100,85200,87100,87100,45791193,005930
2024-07-08,87900,88600,86900,87400,87400,24035809,005930
2024-07-09,87800,88200,86900,87800,87800,21336201,005930
2024-07-10,87600,88000,87100,87800,87800,17813847,005930
2024-07-11,88500,88800,86700,87600,87600,24677608,005930
2024-07-12,85900,86100,84100,84400,84400,26344386,005930
2024-07-15,84700,87300,84100,86700,86700,25193080,005930
